ID_MEMBRO	RELEVANTE	AUTORES	TITULO	ANO	NATUREZA	ITEM
{8}		MARQUES, M. L.; AMARAL, L. C.; SCHIMIDT, F.	Cartilha - Gestão de Residuos Organicos em Estancias de Ecoturismo e Turismo Rural	2024	Editora do IFG. (Outra)		
{2}		ALVES, M. B. S.; ALVES, A. J.	MODELAGEM, SIMULAÇÃO E PROPOSTA DE SEGUIDOR FOTOVOLTAICO BIDIMENSIONAL	2017	Atena. (Equipamento)		
{12}		ZANG, J. W.; BELT, C.; ALVES, A. H.; LEANDRO, W. M.; DA FONSECA-ZANG, W. A.	Reator de Biogas de fluxo continuo de 4200 litros	2017	ABQ Química. (Equipamento)		
{2}		ALVES, A. J.; CALIXTO, W. P.; DOMINGOS, J. L.; DOMINGUES, E. G.; STECANELLA, P. A. J.; MATIAS, C. A.; SANTOS, L. M.; GUIMARAES, O. N.; SOUSA, W. C.; RIBEIRO, E. E.; SILVA, R. C.	Desenvolvimento e montagem de uma Usina Fotovoltaico, em planta piloto de 5 kW, para estudos de melhoria da eficiência energética em painéis Fotovoltaicos, pela diminuição da temperatura de operação dos painéis através da aplicação de água	2016	Atena. (Equipamento)		
{2}		ALVES, A. J.; CALIXTO, W. P.; DOMINGUES, E. G.; DOMINGOS, J. L.; STECANELLA, P. A. J.; FARIA, M. A. A.; GOMES, P. H. G.; OLIVEIRA, E. L.; JUNIOR SOUZA, O. R.; RIBEIRO, E. E.; SILVA, C. J. P.	Produção de aparato tecnológico para estudos de recuperação de perdas de energia em motogerador termoelétrico Utilizando o efeito Seebeck	2016	Atena. (Equipamento)		
{2}		ALVES, A. J.; CALIXTO, W. P.; OLIVEIRA, S. B.; SANTANA, M. L.	Montagem de sistema de recuperação de águas de reuso baseado no tratamento por Zonas de Raízes	2016	Atena. (Equipamento)		
{2}		ALVES, A. J.; MATIAS, C. A.; SANTOS, L. M.; CALIXTO, W. P.; DOMINGOS, J. L.; GUIMARAES, O. N.; SOUSA, W. C.; RIBEIRO, E. E.	PROTÓTIPO DE BANCADA LABORATORIAL PARA SIMULAÇÃO SOLAR EM TESTES DE PAINÉIS SOLARES	2016	Atena. (Equipamento)		
{18}		OLIVEIRA, S. B.; COELHO, W. B.; JUNIOR ARAUJO, J. D.; SIQUEIRA, I. L.	Reator de carbonização hidrotermal de 50 L em escala Piloto	2016	Epagri e SBCS. (Equipamento)		
{18}		OLIVEIRA, S. B.; COELHO, W. B.; LEANDRO, W. M.; ZANG, J. W.; ZANG, W. A. F.; CUNHA, T. R.	Doze biodigestores semicontínuos de 100 L para avaliação da produção de biogas	2016	Epagri e SBCS. (Equipamento)		
{2}		ALVES, A. J.; CALIXTO, W. P.; FURRIEL, G. P.	APARELHO AUTOMÁTICO E PROCESSO PARA MEDIÇÃO DA COMPACTAÇÃO DO SOLO BASEADO NO CÁLCULO DO ÍNDICE DO CONE	2015	Atena. (Aparelho)		
{2}		ALVES, A. J.; ZANG, J. W.; ALMEIDA, C. A.	PRODUÇÃO DE BANCADA LABORATORIAL PARA TESTES DE PRODUÇÃO DE BIOGÁS EM BATELADA	2015	Atena. (Equipamento)		
{18}		OLIVEIRA, S. B.; COELHO, W. B.	Nove Reatores de produção de biogás para avaliação de substratos em laboratório	2015	Epagri e SBCS. (Equipamento)		
{18}		DE OLIVEIRA, S. B.; BARBOSA, D. P.; PACHECO, R. V.	Reator de carbonição hidrotermal de laboratório	2014	Epagri e SBCS. (Equipamento)		
{18}		OLIVEIRA, S. B.; BARBOSA, D. P.; SOUZA, L. B.	Reator de fotocatálise em escala de laboratório	2013	Epagri e SBCS. (Equipamento)		
